SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
264653,0,Revolving loans,F,N,N,1,337500.0,157500.0,7875.0,157500.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.00702,-21581,365243,-7237.0,-4452,,1,0,0,1,0,0,,3.0,2,2,TUESDAY,11,0,0,0,0,0,0,XNA,0.8146649705492198,0.6886234034768254,0.3876253444214701,0.066,,0.9737,0.6396,,,,,,,,0.0508,,,0.0672,,0.9737,0.6537,,,,,,,,0.053,,,0.0666,,0.9737,0.6444,,,,,,,,0.0518,,,reg oper account,block of flats,0.043,"Stone, brick",No,0.0,0.0,0.0,0.0,-862.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0
368492,0,Cash loans,F,N,Y,0,135000.0,312768.0,22374.0,270000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.022625,-10369,-1570,-5227.0,-3006,,1,1,0,1,0,0,Laborers,1.0,2,2,TUESDAY,9,0,0,0,1,1,0,Business Entity Type 3,,0.5617937593079204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
160000,0,Cash loans,F,N,Y,0,247500.0,247500.0,28120.5,247500.0,Unaccompanied,State servant,Secondary / secondary special,Single / not married,House / apartment,0.006207,-10708,-2072,-5196.0,-3391,,1,1,1,1,1,0,High skill tech staff,1.0,2,2,SATURDAY,12,1,1,1,1,1,1,Trade: type 6,0.6865464969783153,0.5975597934245092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-1864.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,4.0
342359,0,Revolving loans,F,N,Y,0,180000.0,225000.0,11250.0,337500.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.02461,-22757,-1896,-15295.0,-4603,,1,1,0,1,1,0,Cleaning staff,1.0,2,2,MONDAY,15,0,0,0,0,0,0,Business Entity Type 3,,0.5928390700637751,0.7001838506835805,0.1227,0.1154,0.9786,,,0.0,0.2759,0.1667,,0.0901,,0.1138,,0.0,0.125,0.1197,0.9786,,,0.0,0.2759,0.1667,,0.0922,,0.1186,,0.0,0.1239,0.1154,0.9786,,,0.0,0.2759,0.1667,,0.0917,,0.1159,,0.0,,block of flats,0.0985,Panel,No,5.0,3.0,5.0,2.0,-1377.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0
109465,1,Cash loans,F,N,Y,0,211500.0,526491.0,32337.0,454500.0,Family,Commercial associate,Higher education,Single / not married,House / apartment,0.030755,-13876,-1589,-6405.0,-2372,,1,1,0,1,0,0,,1.0,2,2,TUESDAY,16,0,0,0,0,1,1,Business Entity Type 3,,0.3851253901119108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,-1086.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
125403,0,Cash loans,F,N,Y,0,180000.0,983299.5,41791.5,904500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-19432,365243,-3410.0,-2829,,1,0,0,1,1,0,,2.0,2,2,WEDNESDAY,9,0,0,0,0,0,0,XNA,0.5395651370233838,0.6230575682878039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-928.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
152611,0,Cash loans,M,N,N,0,225000.0,1288350.0,41562.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.04622,-12556,-918,-967.0,-5124,,1,1,0,1,0,0,,2.0,1,1,TUESDAY,14,0,1,1,0,1,1,Business Entity Type 3,0.3701053471517468,0.4889550845597153,0.5549467685334323,0.2284,0.1404,0.9965,0.9456,0.118,0.3,0.1379,0.5625,0.5,0.0268,0.179,0.2967,0.0328,0.1602,0.0525,0.0751,0.995,0.9347,0.0735,0.1208,0.1034,0.1667,0.2083,0.0182,0.0459,0.0571,0.0,0.0,0.2306,0.1404,0.9965,0.9463,0.1187,0.3,0.1379,0.5625,0.5,0.0272,0.1821,0.3021,0.033,0.1635,reg oper spec account,block of flats,0.5825,Mixed,No,0.0,0.0,0.0,0.0,-8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
447845,0,Cash loans,F,N,N,0,76500.0,135000.0,9018.0,135000.0,Family,Working,Secondary / secondary special,Widow,House / apartment,0.031329,-19709,-3271,-4126.0,-3227,,1,1,0,1,0,0,Sales staff,1.0,2,2,SATURDAY,11,0,0,0,0,0,0,Government,,0.1542654241327621,0.4083588531230431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-685.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
229232,0,Cash loans,M,Y,Y,0,247500.0,1800000.0,62698.5,1800000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.0228,-17325,-3999,-726.0,-854,2.0,1,1,0,1,0,0,,2.0,2,2,MONDAY,13,0,0,0,0,0,0,Business Entity Type 3,0.7942450804993524,0.6284959497550816,0.6658549219640212,0.3346,0.1869,0.9985,0.9796,0.1347,0.304,0.131,0.5833,0.625,0.1404,0.2201,0.3093,0.2425,0.0308,0.2164,0.1687,0.9985,0.9804,0.0854,0.3222,0.1379,0.5833,0.625,0.0939,0.1524,0.1876,0.1556,0.0103,0.3164,0.1625,0.9985,0.9799,0.1275,0.32,0.1379,0.5833,0.625,0.1502,0.2155,0.2892,0.2057,0.0154,reg oper account,block of flats,0.1912,Panel,No,0.0,0.0,0.0,0.0,-2775.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
159990,1,Cash loans,M,Y,N,0,121500.0,450000.0,21109.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.0145199999999999,-10092,-1130,-4434.0,-2758,0.0,1,1,0,1,0,0,,1.0,2,2,THURSDAY,9,0,0,0,0,1,1,Business Entity Type 3,0.2881645802442122,0.2830092427479903,0.1940678276718812,0.0247,0.0403,0.9891,,,0.0,0.1034,0.0833,,0.0045,,0.0254,,0.0118,0.0252,0.0418,0.9891,,,0.0,0.1034,0.0833,,0.0046,,0.0264,,0.0125,0.025,0.0403,0.9891,,,0.0,0.1034,0.0833,,0.0046,,0.0258,,0.0121,,block of flats,0.0225,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
